family_a	family_b	split_a	split_b	status	best_evalue
RF00779	RF00991	train	train	OK	0.00011
RF00779	RF01000	train	train	OK	8.4e-14
RF00779	RF01016	train	train	OK	6.3e-07
RF00779	RF01635	train	train	OK	0.0011
RF00779	RF03208	train	train	OK	0.00048
RF00779	RF03322	train	train	OK	2.7e-05
RF00779	RF03330	train	train	OK	0.0035
RF00779	RF03345	train	train	OK	2e-08
RF00779	RF03371	train	train	OK	0.0036
RF00779	RF03450	train	train	OK	0.0029
RF00779	RF03458	train	train	OK	0.0071
RF00779	RF03560	train	train	OK	3.4e-06
RF00779	RF03607	train	train	OK	6.9e-06
RF00779	RF03672	train	train	OK	0.0012
RF00779	RF03686	train	train	OK	0.0075
RF00779	RF03705	train	train	OK	0.0021
RF00779	RF03712	train	train	OK	0.0014
RF00779	RF03751	train	train	OK	1.8e-05
RF00779	RF03752	train	train	OK	0.00074
RF00779	RF03769	train	train	OK	1e-10
RF00779	RF03771	train	train	OK	2.2e-10
RF00779	RF03820	train	train	OK	4e-08
RF00779	RF03844	train	train	OK	0.002
RF00779	RF03893	train	train	OK	0.0055
RF00779	RF03894	train	train	OK	2.1e-08
RF00779	RF03935	train	train	OK	6.6e-06
RF00779	RF03980	train	train	OK	0.00032
RF00779	RF03992	train	train	OK	3.2e-11
RF00779	RF04038	train	train	OK	0.0021
RF00779	RF04053	train	train	OK	0.0036
RF00779	RF04156	train	train	OK	5.6e-06
RF00779	RF04208	train	train	OK	1e-05
RF00779	RF04214	train	train	OK	4.4e-08
RF00779	RF04223	train	train	OK	1.5e-05
RF00779	RF04243	train	train	OK	0.00035
RF00779	RF04244	train	train	OK	0.00078
RF00779	RF04262	train	train	OK	1.3e-08
RF00780	RF00785	train	train	OK	0.008
RF00780	RF00790	train	train	OK	1.3e-08
RF00780	RF00830	train	train	OK	0.0016
RF00780	RF00884	train	train	OK	1.3e-06
RF00780	RF00895	train	train	OK	1.3e-06
RF00780	RF00925	train	train	OK	1.4e-10
RF00780	RF00945	train	train	OK	0.0021
RF00780	RF00954	train	train	OK	0.0011
RF00780	RF00963	train	train	OK	2.2e-07
RF00780	RF00964	train	train	OK	0.0015
RF00780	RF00965	train	train	OK	3.1e-05
RF00780	RF00974	train	train	OK	2.7e-06
RF00780	RF00984	train	train	OK	4.7e-05
RF00780	RF00995	train	train	OK	5.2e-08
RF00780	RF01000	train	train	OK	8.7e-06
RF00780	RF01001	train	train	OK	1.7e-06
RF00780	RF01015	train	train	OK	7.6e-09
RF00780	RF01035	train	train	OK	0.0035
RF00780	RF01044	train	train	OK	1.5e-05
RF00780	RF01061	train	train	OK	4.3e-06
RF00780	RF01064	train	train	OK	7.3e-11
RF00780	RF01703	train	train	OK	0.009
RF00780	RF01920	train	train	OK	0.0099
RF00780	RF01936	train	train	OK	4.5e-09
RF00780	RF02006	train	train	OK	7.3e-06
RF00780	RF02149	train	train	OK	0.0032
RF00780	RF02386	train	train	OK	0.002
RF00780	RF02625	train	train	OK	2.3e-06
RF00780	RF03187	train	train	OK	3.6e-08
RF00780	RF03201	train	train	OK	1.8e-07
RF00780	RF03208	train	train	OK	0.002
RF00780	RF03220	train	train	OK	0.0031
RF00780	RF03225	train	train	OK	6.5e-05
RF00780	RF03251	train	train	OK	8.9e-09
RF00780	RF03287	train	train	OK	0.0048
RF00780	RF03306	train	train	OK	2.6e-07
RF00780	RF03316	train	train	OK	0.001
RF00780	RF03381	train	train	OK	0.00068
RF00780	RF03404	train	train	OK	0.00073
RF00780	RF03406	train	train	OK	0.0066
RF00780	RF03457	train	train	OK	3.9e-06
RF00780	RF03460	train	train	OK	4e-07
RF00780	RF03477	train	train	OK	8.7e-12
RF00780	RF03498	train	train	OK	1.1e-05
RF00780	RF03501	train	train	OK	8.9e-08
RF00780	RF03503	train	train	OK	3.5e-07
RF00780	RF03556	train	train	OK	0.00024
RF00780	RF03560	train	train	OK	1.1e-07
RF00780	RF03611	train	train	OK	0.0032
RF00780	RF03616	train	train	OK	1.6e-06
RF00780	RF03631	train	train	OK	2.6e-08
RF00780	RF03632	train	train	OK	0.0029
RF00780	RF03638	train	train	OK	5.4e-05
RF00780	RF03645	train	train	OK	5.1e-10
RF00780	RF03648	train	train	OK	6e-05
RF00780	RF03654	train	train	OK	1.5e-06
RF00780	RF03677	train	train	OK	0.0019
RF00780	RF03681	train	train	OK	0.0023
RF00780	RF03689	train	train	OK	5.5e-07
RF00780	RF03703	train	train	OK	9.3e-07
RF00780	RF03710	train	train	OK	2.5e-05
RF00780	RF03711	train	train	OK	0.00046
RF00780	RF03734	train	train	OK	3.8e-07
RF00780	RF03743	train	train	OK	4.8e-06
RF00780	RF03779	train	train	OK	1.4e-05
RF00780	RF03802	train	train	OK	0.0013
RF00780	RF03820	train	train	OK	6.7e-08
RF00780	RF03837	train	train	OK	1.8e-05
RF00780	RF03843	train	train	OK	1.2e-08
RF00780	RF03846	train	train	OK	8.3e-08
RF00780	RF03877	train	train	OK	1.6e-05
RF00780	RF03880	train	train	OK	1.8e-10
RF00780	RF03886	train	train	OK	2.2e-05
RF00780	RF03888	train	train	OK	7.4e-08
RF00780	RF03910	train	train	OK	0.00078
RF00780	RF03919	train	train	OK	2.2e-06
RF00780	RF03923	train	train	OK	0.00016
RF00780	RF03933	train	train	OK	0.00042
RF00780	RF03941	train	train	OK	3.5e-07
RF00780	RF03955	train	train	OK	0.0014
RF00780	RF03979	train	train	OK	5.3e-05
RF00780	RF03987	train	train	OK	0.0023
RF00780	RF04068	train	train	OK	0.0044
RF00780	RF04073	train	train	OK	0.0018
RF00780	RF04079	train	train	OK	1.2e-05
RF00780	RF04094	train	train	OK	0.00013
RF00780	RF04096	train	train	OK	4.8e-09
RF00780	RF04108	train	train	OK	1.6e-09
RF00780	RF04109	train	train	OK	0.004
RF00780	RF04114	train	train	OK	9.6e-07
RF00780	RF04132	train	train	OK	1.3e-05
RF00780	RF04138	train	train	OK	0.0009
RF00780	RF04157	train	train	OK	4.8e-08
RF00780	RF04161	train	train	OK	2.6e-05
RF00780	RF04170	train	train	OK	0.0023
RF00780	RF04202	train	train	OK	9.4e-09
RF00780	RF04204	train	train	OK	0.001
RF00780	RF04214	train	train	OK	6.6e-08
RF00780	RF04216	train	train	OK	0.00015
RF00780	RF04230	train	train	OK	3.2e-06
RF00780	RF04239	train	train	OK	1e-05
RF00780	RF04242	train	train	OK	2.4e-06
RF00780	RF04265	train	train	OK	7.3e-08
RF00780	RF04276	train	train	OK	0.0036
RF00780	RF04302	train	train	OK	0.0078
RF00781	RF00870	train	train	OK	0.0086
RF00781	RF00873	train	train	OK	0.00012
RF00781	RF00877	train	train	OK	1.4e-05
RF00781	RF00905	train	train	OK	0.00029
RF00781	RF00928	train	train	OK	4.3e-06
RF00781	RF02000	train	train	OK	5.2e-06
RF00781	RF02006	train	train	OK	0.0018
RF00781	RF02569	train	train	OK	0.0017
RF00781	RF03187	train	train	OK	8.3e-07
RF00781	RF03360	train	train	OK	9.3e-06
RF00781	RF03373	train	train	OK	0.00013
RF00781	RF03426	train	train	OK	0.0037
RF00781	RF03458	train	train	OK	2.3e-05
RF00781	RF03474	train	train	OK	1.9e-05
RF00781	RF03512	train	train	OK	0.0039
RF00781	RF03560	train	train	OK	0.0023
RF00781	RF03594	train	train	OK	0.00034
RF00781	RF03600	train	train	OK	0.00053
RF00781	RF03703	train	train	OK	3.3e-05
RF00781	RF03760	train	train	OK	0.007
RF00781	RF03765	train	train	OK	0.0075
RF00781	RF03785	train	train	OK	0.00068
RF00781	RF03799	train	train	OK	0.00022
RF00781	RF03831	train	train	OK	5e-05
RF00781	RF03857	train	train	OK	8.3e-05
RF00781	RF03906	train	train	OK	0.00013
RF00781	RF03992	train	train	OK	1.6e-05
RF00781	RF04085	train	train	OK	5.9e-06
RF00781	RF04148	train	train	OK	4.2e-05
RF00781	RF04203	train	train	OK	0.00079
RF00781	RF04226	train	train	OK	1.6e-06
RF00781	RF04279	train	train	OK	3.3e-05
RF00781	RF04288	train	train	OK	1.4e-05
RF00783	RF03751	train	train	OK	0.0055
RF00784	RF00798	train	train	OK	0.0066
RF00784	RF00805	train	train	OK	0.0046
RF00784	RF00846	train	train	OK	0.0046
RF00784	RF00914	train	train	OK	0.0035
RF00784	RF01001	train	train	OK	9e-06
RF00784	RF01016	train	train	OK	0.00072
RF00784	RF01740	train	train	OK	0.0019
RF00784	RF01996	train	train	OK	0.0064
RF00784	RF02000	train	train	OK	0.0068
RF00784	RF03195	train	train	OK	0.0035
RF00784	RF03292	train	train	OK	0.0042
RF00784	RF03375	train	train	OK	0.0045
RF00784	RF03403	train	train	OK	0.0044
RF00784	RF03487	train	train	OK	0.00055
RF00784	RF03634	train	train	OK	0.00099
RF00784	RF03674	train	train	OK	0.0013
RF00784	RF03679	train	train	OK	0.00011
RF00784	RF03729	train	train	OK	2.7e-05
RF00784	RF03736	train	train	OK	0.00067
RF00784	RF03757	train	train	OK	0.0024
RF00784	RF03888	train	train	OK	3.8e-05
RF00784	RF03932	train	train	OK	0.006
RF00784	RF04006	train	train	OK	0.00011
RF00784	RF04162	train	train	OK	4.1e-05
RF00785	RF00861	train	train	OK	0.0069
RF00785	RF00904	train	train	OK	5.2e-05
RF00785	RF00956	train	train	OK	3.3e-09
RF00785	RF00965	train	train	OK	4.6e-05
RF00785	RF01021	train	train	OK	0.0033
RF00785	RF01064	train	train	OK	4.8e-07
RF00785	RF03187	train	train	OK	0.0024
RF00785	RF03286	train	train	OK	0.0021
RF00785	RF03355	train	train	OK	6.8e-08
RF00785	RF03461	train	train	OK	0.00071
RF00785	RF03494	train	train	OK	0.00082
RF00785	RF03503	train	train	OK	1.3e-07
RF00785	RF03569	train	train	OK	0.0058
RF00785	RF03645	train	train	OK	0.00029
RF00785	RF03687	train	train	OK	2.7e-06
RF00785	RF03709	train	train	OK	0.00031
RF00785	RF03747	train	train	OK	1.1e-08
RF00785	RF03768	train	train	OK	0.00036
RF00785	RF03798	train	train	OK	1.8e-06
RF00785	RF03802	train	train	OK	0.00059
RF00785	RF03803	train	train	OK	0.0099
RF00785	RF03843	train	train	OK	1.4e-07
RF00785	RF03972	train	train	OK	7.1e-05
RF00785	RF03986	train	train	OK	2e-07
RF00785	RF04002	train	train	OK	0.0014
RF00785	RF04024	train	train	OK	0.0067
RF00785	RF04027	train	train	OK	0.00044
RF00785	RF04116	train	train	OK	1.1e-08
RF00785	RF04134	train	train	OK	2.3e-07
RF00785	RF04151	train	train	OK	2.1e-06
RF00785	RF04154	train	train	OK	6.2e-06
RF00785	RF04252	train	train	OK	0.0013
RF00785	RF04258	train	train	OK	0.0001
RF00785	RF04263	train	train	OK	0.00025
RF00785	RF04276	train	train	OK	7.7e-06
RF00786	RF03716	train	train	OK	0.00084
RF00786	RF04069	train	train	OK	0.0056
RF00787	RF00877	train	train	OK	0.0087
RF00787	RF00926	train	train	OK	0.0017
RF00787	RF01612	train	train	OK	0.0031
RF00787	RF04022	train	train	OK	0.0013
RF00788	RF00835	train	train	OK	0.00026
RF00788	RF01024	train	train	OK	7.7e-05
RF00788	RF03187	train	train	OK	0.00016
RF00788	RF03335	train	train	OK	0.00085
RF00788	RF03682	train	train	OK	5.1e-07
RF00788	RF04003	train	train	OK	0.0019
RF00788	RF04010	train	train	OK	0.0059
RF00788	RF04242	train	train	OK	5.9e-05
RF00789	RF03769	train	train	OK	0.0021
RF00789	RF04106	train	train	OK	0.0016
RF00789	RF04120	train	train	OK	0.0053
RF00789	RF04172	train	train	OK	0.0018
RF00790	RF00821	train	train	OK	2.5e-05
RF00790	RF00833	train	train	OK	4.2e-06
RF00790	RF00836	train	train	OK	0.00025
RF00790	RF00894	train	train	OK	0.0003
RF00790	RF00902	train	train	OK	3.9e-05
RF00790	RF00905	train	train	OK	1.8e-08
RF00790	RF00911	train	train	OK	6.9e-07
RF00790	RF00928	train	train	OK	9.5e-07
RF00790	RF00950	train	train	OK	0.0012
RF00790	RF00995	train	train	OK	2.2e-07
RF00790	RF01021	train	train	OK	3.6e-06
RF00790	RF01024	train	train	OK	4.6e-06
RF00790	RF01034	train	train	OK	3.1e-08
RF00790	RF01915	train	train	OK	8.8e-06
RF00790	RF01997	train	train	OK	0.0055
RF00790	RF02625	train	train	OK	2.3e-07
RF00790	RF03173	train	train	OK	1e-11
RF00790	RF03187	train	train	OK	1.9e-10
RF00790	RF03197	train	train	OK	3e-07
RF00790	RF03224	train	train	OK	4.7e-08
RF00790	RF03248	train	train	OK	1.1e-05
RF00790	RF03339	train	train	OK	0.003
RF00790	RF03344	train	train	OK	7.3e-05
RF00790	RF03356	train	train	OK	0.0011
RF00790	RF03394	train	train	OK	0.0016
RF00790	RF03403	train	train	OK	5.6e-05
RF00790	RF03444	train	train	OK	4.5e-06
RF00790	RF03489	train	train	OK	1.6e-09
RF00790	RF03598	train	train	OK	0.0011
RF00790	RF03644	train	train	OK	0.00032
RF00790	RF03693	train	train	OK	6.6e-07
RF00790	RF03701	train	train	OK	5e-06
RF00790	RF03788	train	train	OK	4.8e-11
RF00790	RF03826	train	train	OK	2.1e-07
RF00790	RF03881	train	train	OK	0.0056
RF00790	RF03927	train	train	OK	1.2e-07
RF00790	RF03940	train	train	OK	4.4e-05
RF00790	RF03951	train	train	OK	0.00084
RF00790	RF03953	train	train	OK	1.2e-06
RF00790	RF04057	train	train	OK	0.002
RF00790	RF04070	train	train	OK	6.5e-09
RF00790	RF04092	train	train	OK	4e-08
RF00790	RF04106	train	train	OK	5.3e-07
RF00790	RF04108	train	train	OK	1.2e-10
RF00790	RF04156	train	train	OK	0.00066
RF00790	RF04169	train	train	OK	0.0014
RF00790	RF04198	train	train	OK	3.9e-07
RF00790	RF04213	train	train	OK	2.5e-08
RF00790	RF04214	train	train	OK	6.8e-08
RF00790	RF04228	train	train	OK	4e-07
RF00790	RF04230	train	train	OK	4.9e-10
RF00790	RF04251	train	train	OK	9.8e-08
RF00791	RF00984	train	train	OK	0.0034
RF00791	RF01464	train	train	OK	0.0023
RF00791	RF01582	train	train	OK	0.002
RF00791	RF03187	train	train	OK	0.0037
RF00791	RF03225	train	train	OK	0.0009
RF00791	RF03394	train	train	OK	0.0034
RF00791	RF03501	train	train	OK	0.0026
RF00791	RF03585	train	train	OK	0.0019
RF00791	RF03861	train	train	OK	0.006
RF00791	RF03880	train	train	OK	0.0093
RF00791	RF04011	train	train	OK	0.00028
RF00791	RF04024	train	train	OK	0.0003
RF00791	RF04138	train	train	OK	3e-05
RF00791	RF04154	train	train	OK	5.6e-05
RF00791	RF04176	train	train	OK	0.00083
RF00791	RF04217	train	train	OK	0.0002
RF00791	RF04226	train	train	OK	0.0084
RF00792	RF00805	train	train	OK	0.00034
RF00792	RF00878	train	train	OK	0.0064
RF00792	RF00911	train	train	OK	2.4e-05
RF00792	RF01487	train	train	OK	0.0056
RF00792	RF01790	train	train	OK	0.0043
RF00792	RF01927	train	train	OK	1.2e-05
RF00792	RF03267	train	train	OK	0.0077
RF00792	RF03355	train	train	OK	8.7e-07
RF00792	RF03426	train	train	OK	0.0022
RF00792	RF03739	train	train	OK	0.0027
RF00792	RF03939	train	train	OK	0.00061
RF00792	RF03979	train	train	OK	0.0037
RF00792	RF04038	train	train	OK	0.0012
RF00792	RF04249	train	train	OK	0.00091
RF00793	RF00795	train	train	OK	0.00036
RF00793	RF00836	train	train	OK	0.0085
RF00793	RF00888	train	train	OK	0.0018
RF00793	RF01015	train	train	OK	0.0032
RF00793	RF01996	train	train	OK	1.8e-05
RF00793	RF03174	train	train	OK	2.3e-05
RF00793	RF03287	train	train	OK	0.00098
RF00793	RF03355	train	train	OK	1.8e-06
RF00793	RF03549	train	train	OK	2.7e-05
RF00793	RF03634	train	train	OK	0.00015
RF00793	RF03820	train	train	OK	0.0056
RF00793	RF03831	train	train	OK	3.9e-05
RF00793	RF03837	train	train	OK	0.0035
RF00793	RF03843	train	train	OK	0.0038
RF00793	RF03857	train	train	OK	1.9e-05
RF00793	RF03908	train	train	OK	0.00085
RF00793	RF03991	train	train	OK	0.00032
RF00793	RF04096	train	train	OK	1.3e-05
RF00793	RF04239	train	train	OK	0.00032
RF00793	RF04240	train	train	OK	0.005
RF00794	RF00806	train	train	OK	0.00013
RF00794	RF00866	train	train	OK	3.4e-07
RF00794	RF00867	train	train	OK	3.8e-05
RF00794	RF00911	train	train	OK	0.0018
RF00794	RF00928	train	train	OK	7.2e-09
RF00794	RF00931	train	train	OK	0.0091
RF00794	RF00961	train	train	OK	0.00012
RF00794	RF01016	train	train	OK	4.4e-08
RF00794	RF01021	train	train	OK	0.0031
RF00794	RF01059	train	train	OK	0.00038
RF00794	RF02000	train	train	OK	4.3e-06
RF00794	RF02009	train	train	OK	0.00012
RF00794	RF02254	train	train	OK	5.7e-10
RF00794	RF03201	train	train	OK	1.5e-08
RF00794	RF03209	train	train	OK	0.0037
RF00794	RF03237	train	train	OK	0.0038
RF00794	RF03256	train	train	OK	3.6e-07
RF00794	RF03292	train	train	OK	0.0049
RF00794	RF03317	train	train	OK	0.0015
RF00794	RF03328	train	train	OK	9.1e-06
RF00794	RF03335	train	train	OK	3.5e-08
RF00794	RF03342	train	train	OK	1.3e-08
RF00794	RF03348	train	train	OK	0.001
RF00794	RF03355	train	train	OK	1.6e-07
RF00794	RF03375	train	train	OK	2.4e-05
RF00794	RF03407	train	train	OK	3.2e-05
RF00794	RF03419	train	train	OK	6.7e-05
RF00794	RF03426	train	train	OK	6.2e-05
RF00794	RF03461	train	train	OK	2.2e-05
RF00794	RF03468	train	train	OK	2.8e-06
RF00794	RF03472	train	train	OK	0.0009
RF00794	RF03550	train	train	OK	0.00079
RF00794	RF03560	train	train	OK	1.7e-07
RF00794	RF03574	train	train	OK	3.1e-07
RF00794	RF03585	train	train	OK	3e-05
RF00794	RF03586	train	train	OK	0.0077
RF00794	RF03590	train	train	OK	2.4e-08
RF00794	RF03615	train	train	OK	0.0087
RF00794	RF03619	train	train	OK	0.0019
RF00794	RF03654	train	train	OK	1.3e-06
RF00794	RF03658	train	train	OK	6.8e-09
RF00794	RF03721	train	train	OK	0.0033
RF00794	RF03757	train	train	OK	2e-06
RF00794	RF03771	train	train	OK	7.5e-07
RF00794	RF03777	train	train	OK	5.7e-05
RF00794	RF03781	train	train	OK	9.8e-09
RF00794	RF03819	train	train	OK	0.00089
RF00794	RF03848	train	train	OK	4.1e-05
RF00794	RF03849	train	train	OK	5.8e-05
RF00794	RF03873	train	train	OK	0.0036
RF00794	RF03877	train	train	OK	8.1e-08
RF00794	RF03912	train	train	OK	9.4e-09
RF00794	RF03953	train	train	OK	0.0039
RF00794	RF03976	train	train	OK	7.3e-08
RF00794	RF04036	train	train	OK	2.2e-07
RF00794	RF04043	train	train	OK	4.3e-09
RF00794	RF04062	train	train	OK	9.3e-05
RF00794	RF04104	train	train	OK	3.7e-07
RF00794	RF04114	train	train	OK	1.5e-07
RF00794	RF04118	train	train	OK	2.8e-08
RF00794	RF04123	train	train	OK	8.8e-05
RF00794	RF04141	train	train	OK	2.1e-06
RF00794	RF04167	train	train	OK	0.00014
RF00794	RF04198	train	train	OK	0.0066
RF00794	RF04201	train	train	OK	2.1e-06
RF00794	RF04231	train	train	OK	2.2e-05
RF00794	RF04234	train	train	OK	0.00074
RF00794	RF04240	train	train	OK	1.9e-08
RF00794	RF04244	train	train	OK	3e-07
RF00794	RF04245	train	train	OK	0.0013
RF00794	RF04248	train	train	OK	3.8e-09
RF00794	RF04251	train	train	OK	1.1e-06
RF00794	RF04262	train	train	OK	6.8e-06
RF00794	RF04296	train	train	OK	1.6e-08
RF00794	RF04300	train	train	OK	0.00019
RF00795	RF00810	train	train	OK	0.00018
RF00795	RF00813	train	train	OK	0.0064
RF00795	RF00836	train	train	OK	1.3e-06
RF00795	RF00856	train	train	OK	5.1e-05
RF00795	RF00870	train	train	OK	0.0014
RF00795	RF00892	train	train	OK	0.00056
RF00795	RF00910	train	train	OK	0.00014
RF00795	RF00961	train	train	OK	2e-05
RF00795	RF00995	train	train	OK	0.00013
RF00795	RF01007	train	train	OK	0.0027
RF00795	RF01061	train	train	OK	0.0023
RF00795	RF03244	train	train	OK	0.00012
RF00795	RF03323	train	train	OK	0.0014
RF00795	RF03419	train	train	OK	0.0082
RF00795	RF03460	train	train	OK	8.3e-06
RF00795	RF03552	train	train	OK	0.0073
RF00795	RF03557	train	train	OK	0.00046
RF00795	RF03607	train	train	OK	7.5e-05
RF00795	RF03634	train	train	OK	3.2e-05
RF00795	RF03682	train	train	OK	0.0048
RF00795	RF03703	train	train	OK	5.2e-05
RF00795	RF03717	train	train	OK	5.4e-05
RF00795	RF03728	train	train	OK	0.0063
RF00795	RF03758	train	train	OK	0.0027
RF00795	RF03771	train	train	OK	0.0077
RF00795	RF03913	train	train	OK	0.0002
RF00795	RF03941	train	train	OK	0.00012
RF00795	RF03955	train	train	OK	0.00029
RF00795	RF03979	train	train	OK	3.8e-06
RF00795	RF03986	train	train	OK	4.1e-06
RF00795	RF04002	train	train	OK	0.0026
RF00795	RF04003	train	train	OK	0.0026
RF00795	RF04036	train	train	OK	0.00053
RF00795	RF04068	train	train	OK	0.0094
RF00795	RF04076	train	train	OK	0.0049
RF00795	RF04108	train	train	OK	0.0022
RF00795	RF04125	train	train	OK	0.00053
RF00795	RF04201	train	train	OK	0.00025
RF00796	RF00802	train	train	OK	2.8e-05
RF00796	RF00806	train	train	OK	0.0089
RF00796	RF00809	train	train	OK	3.4e-05
RF00796	RF00811	train	train	OK	2.5e-06
RF00796	RF00834	train	train	OK	3.8e-07
RF00796	RF00891	train	train	OK	9.2e-05
RF00796	RF00911	train	train	OK	0.0025
RF00796	RF00914	train	train	OK	9e-06
RF00796	RF00942	train	train	OK	0.0021
RF00796	RF00956	train	train	OK	8.7e-10
RF00796	RF00994	train	train	OK	4.5e-07
RF00796	RF01013	train	train	OK	1e-08
RF00796	RF01900	train	train	OK	1.4e-05
RF00796	RF01911	train	train	OK	1.7e-06
RF00796	RF02019	train	train	OK	0.0014
RF00796	RF02409	train	train	OK	0.0066
RF00796	RF03206	train	train	OK	0.00045
RF00796	RF03209	train	train	OK	1.1e-05
RF00796	RF03210	train	train	OK	0.0042
RF00796	RF03269	train	train	OK	0.0058
RF00796	RF03339	train	train	OK	7.6e-05
RF00796	RF03360	train	train	OK	0.0029
RF00796	RF03371	train	train	OK	2.5e-08
RF00796	RF03378	train	train	OK	8.2e-05
RF00796	RF03380	train	train	OK	0.0021
RF00796	RF03413	train	train	OK	4.3e-06
RF00796	RF03423	train	train	OK	1.5e-05
RF00796	RF03493	train	train	OK	0.0066
RF00796	RF03512	train	train	OK	3.1e-08
RF00796	RF03556	train	train	OK	0.00024
RF00796	RF03557	train	train	OK	0.00087
RF00796	RF03560	train	train	OK	5e-06
RF00796	RF03574	train	train	OK	0.00095
RF00796	RF03616	train	train	OK	4.1e-07
RF00796	RF03623	train	train	OK	0.00025
RF00796	RF03636	train	train	OK	3.4e-08
RF00796	RF03695	train	train	OK	1.8e-05
RF00796	RF03703	train	train	OK	2.8e-05
RF00796	RF03714	train	train	OK	5.1e-10
RF00796	RF03727	train	train	OK	0.00034
RF00796	RF03728	train	train	OK	0.0046
RF00796	RF03756	train	train	OK	0.0015
RF00796	RF03758	train	train	OK	0.00018
RF00796	RF03760	train	train	OK	0.005
RF00796	RF03777	train	train	OK	1.3e-05
RF00796	RF03778	train	train	OK	8.2e-06
RF00796	RF03792	train	train	OK	7e-06
RF00796	RF03833	train	train	OK	0.0023
RF00796	RF03846	train	train	OK	3.1e-05
RF00796	RF03873	train	train	OK	2.1e-05
RF00796	RF03896	train	train	OK	2.3e-08
RF00796	RF03924	train	train	OK	0.0083
RF00796	RF03953	train	train	OK	6.2e-07
RF00796	RF03964	train	train	OK	3.8e-05
RF00796	RF03988	train	train	OK	0.00012
RF00796	RF03992	train	train	OK	8.6e-08
RF00796	RF03993	train	train	OK	0.00025
RF00796	RF04003	train	train	OK	7.8e-05
RF00796	RF04023	train	train	OK	0.0052
RF00796	RF04083	train	train	OK	0.00015
RF00796	RF04087	train	train	OK	7.3e-06
RF00796	RF04113	train	train	OK	1.3e-08
RF00796	RF04119	train	train	OK	0.0041
RF00796	RF04164	train	train	OK	1e-07
RF00796	RF04185	train	train	OK	9.2e-08
RF00796	RF04203	train	train	OK	2.2e-06
RF00796	RF04210	train	train	OK	2.3e-06
RF00796	RF04226	train	train	OK	6.5e-10
RF00796	RF04249	train	train	OK	0.0016
RF00796	RF04255	train	train	OK	0.00034
RF00796	RF04279	train	train	OK	1.2e-07
RF00796	RF04288	train	train	OK	0.00058
RF00797	RF00828	train	train	OK	0.0017
RF00797	RF00931	train	train	OK	0.0016
RF00797	RF00990	train	train	OK	0.0017
RF00797	RF00997	train	train	OK	0.00023
RF00797	RF01464	train	train	OK	0.00024
RF00797	RF01936	train	train	OK	7.4e-07
RF00797	RF02731	train	train	OK	3.1e-05
RF00797	RF03174	train	train	OK	0.00025
RF00797	RF03313	train	train	OK	0.00091
RF00797	RF03339	train	train	OK	0.0055
RF00797	RF03516	train	train	OK	0.00063
RF00797	RF03578	train	train	OK	1.6e-06
RF00797	RF03594	train	train	OK	7.7e-05
RF00797	RF03704	train	train	OK	2.2e-05
RF00797	RF03709	train	train	OK	0.0062
RF00797	RF03716	train	train	OK	0.0069
RF00797	RF03762	train	train	OK	0.0016
RF00797	RF03826	train	train	OK	7.6e-05
RF00797	RF03879	train	train	OK	0.0026
RF00797	RF04066	train	train	OK	0.00071
RF00797	RF04069	train	train	OK	0.0025
RF00797	RF04162	train	train	OK	0.0076
RF00797	RF04187	train	train	OK	0.0085
RF00797	RF04242	train	train	OK	0.00025
RF00798	RF00804	train	train	OK	0.0015
RF00798	RF00857	train	train	OK	0.00013
RF00798	RF00915	train	train	OK	2.6e-05
RF00798	RF00921	train	train	OK	0.0067
RF00798	RF00926	train	train	OK	4.8e-05
RF00798	RF01021	train	train	OK	0.0023
RF00798	RF01923	train	train	OK	1.6e-05
RF00798	RF02093	train	train	OK	0.00082
RF00798	RF03193	train	train	OK	0.0066
RF00798	RF03232	train	train	OK	0.00013
RF00798	RF03271	train	train	OK	0.0076
RF00798	RF03293	train	train	OK	9.1e-07
RF00798	RF03328	train	train	OK	0.0043
RF00798	RF03407	train	train	OK	1.6e-05
RF00798	RF03418	train	train	OK	5.1e-06
RF00798	RF03557	train	train	OK	0.0001
RF00798	RF03564	train	train	OK	9.5e-05
RF00798	RF03568	train	train	OK	0.0021
RF00798	RF03578	train	train	OK	8.3e-12
RF00798	RF03594	train	train	OK	2.2e-05
RF00798	RF03644	train	train	OK	0.0017
RF00798	RF03645	train	train	OK	1.8e-06
RF00798	RF03672	train	train	OK	6.7e-07
RF00798	RF03687	train	train	OK	0.0067
RF00798	RF03702	train	train	OK	0.0069
RF00798	RF03705	train	train	OK	2.4e-07
RF00798	RF03760	train	train	OK	4.8e-06
RF00798	RF03764	train	train	OK	0.00019
RF00798	RF03849	train	train	OK	2.1e-05
RF00798	RF03868	train	train	OK	0.0028
RF00798	RF03870	train	train	OK	6.5e-06
RF00798	RF03872	train	train	OK	0.0018
RF00798	RF03877	train	train	OK	1e-07
RF00798	RF03900	train	train	OK	3.1e-06
RF00798	RF03934	train	train	OK	5.4e-06
RF00798	RF03937	train	train	OK	0.0036
RF00798	RF03960	train	train	OK	0.00028
RF00798	RF03979	train	train	OK	0.0088
RF00798	RF04126	train	train	OK	8.6e-07
RF00798	RF04141	train	train	OK	2.9e-06
RF00798	RF04151	train	train	OK	2e-05
RF00798	RF04159	train	train	OK	6e-06
RF00798	RF04175	train	train	OK	1.6e-05
RF00798	RF04203	train	train	OK	7.3e-08
RF00798	RF04209	train	train	OK	7.3e-08
